subregion1_code,date,type,new_confirmed_pred
MI,2021-12-01,forecast,4608.9588
MI,2021-12-02,forecast,4712.026
MI,2021-12-03,forecast,4644.7244
MN,2021-10-16,prediction,4037.116
MN,2021-10-17,prediction,4075.4416
MN,2021-10-18,prediction,4026.103
MN,2021-10-19,prediction,4027.6227999999996
MN,2021-10-20,prediction,4046.0626
MN,2021-10-21,prediction,4013.8566
MN,2021-10-22,prediction,3784.6660000000006
MN,2021-10-23,prediction,4003.365
MN,2021-10-24,prediction,4027.7922000000003
MN,2021-10-25,prediction,4025.4236
MN,2021-10-26,prediction,4006.1333999999997
MN,2021-10-27,prediction,4020.1666
MN,2021-10-28,prediction,3990.1026
MN,2021-10-29,prediction,3989.949
MN,2021-10-30,prediction,4078.9976
MN,2021-10-31,prediction,4087.5506
MN,2021-11-01,prediction,4085.7062
MN,2021-11-02,prediction,4067.0816
MN,2021-11-03,prediction,4086.6324000000004
MN,2021-11-04,prediction,4029.8786
MN,2021-11-05,prediction,4035.5192
MN,2021-11-06,forecast,4046.3202
MN,2021-11-07,forecast,4034.9126
MN,2021-11-08,forecast,4089.4264000000003
MN,2021-11-09,forecast,4104.6467999999995
MN,2021-11-10,forecast,4090.4806
MN,2021-11-11,forecast,4068.0058000000004
MN,2021-11-12,forecast,4033.3558000000003
MN,2021-11-13,forecast,4029.6498
MN,2021-11-14,forecast,4050.1092000000003
MN,2021-11-15,forecast,4055.058
MN,2021-11-16,forecast,4082.3000000000006
MN,2021-11-17,forecast,4106.2884
MN,2021-11-18,forecast,4082.2872
MN,2021-11-19,forecast,4063.8466000000003
MN,2021-11-20,forecast,4034.479
MN,2021-11-21,forecast,3757.1732
MN,2021-11-22,forecast,4034.8716
MN,2021-11-23,forecast,4039.5666
MN,2021-11-24,forecast,4024.7802
MN,2021-11-25,forecast,4045.9666
MN,2021-11-26,forecast,4043.5472
MN,2021-11-27,forecast,4034.3782
MN,2021-11-28,forecast,4038.3612000000003
MN,2021-11-29,forecast,4022.0542
MN,2021-11-30,forecast,4039.4242000000004
MN,2021-12-01,forecast,4046.6994
MN,2021-12-02,forecast,4038.9872
MN,2021-12-03,forecast,4026.4782
MO,2021-10-16,prediction,21053.051
MO,2021-10-17,prediction,21026.265
MO,2021-10-18,prediction,22815.027
MO,2021-10-19,prediction,22805.63
MO,2021-10-20,prediction,22892.092
MO,2021-10-21,prediction,22825.398
MO,2021-10-22,prediction,22783.749
MO,2021-10-23,prediction,22724.475
MO,2021-10-24,prediction,22873.136
MO,2021-10-25,prediction,22745.457
MO,2021-10-26,prediction,22862.796
MO,2021-10-27,prediction,22817.617
MO,2021-10-28,prediction,22794.631
MO,2021-10-29,prediction,22748.588
MO,2021-10-30,prediction,26925.902
MO,2021-10-31,prediction,22782.928
MO,2021-11-01,prediction,22852.68
MO,2021-11-02,prediction,22786.988
MO,2021-11-03,prediction,27112.231
MO,2021-11-04,prediction,22796.823
MO,2021-11-05,prediction,22869.107
MO,2021-11-06,forecast,26912.184
MO,2021-11-07,forecast,22743.955
MO,2021-11-08,forecast,21114.551
MO,2021-11-09,forecast,22806.019
MO,2021-11-10,forecast,22811.826
MO,2021-11-11,forecast,22884.282
MO,2021-11-12,forecast,22784.573
MO,2021-11-13,forecast,22756.137
MO,2021-11-14,forecast,22729.771
MO,2021-11-15,forecast,22775.418
MO,2021-11-16,forecast,22822.754
MO,2021-11-17,forecast,22855.617
MO,2021-11-18,forecast,22820.556
MO,2021-11-19,forecast,22850.409
MO,2021-11-20,forecast,22752.526
MO,2021-11-21,forecast,26933.996
MO,2021-11-22,forecast,22799.537
MO,2021-11-23,forecast,22847.216
MO,2021-11-24,forecast,22823.748
MO,2021-11-25,forecast,27005.804
MO,2021-11-26,forecast,22847.328
MO,2021-11-27,forecast,22683.179
MO,2021-11-28,forecast,22623.668
MO,2021-11-29,forecast,22887.247
MO,2021-11-30,forecast,22911.062
MO,2021-12-01,forecast,22740.902
MO,2021-12-02,forecast,22807.215
MO,2021-12-03,forecast,22795.488
MS,2021-10-16,prediction,3184.5764
MS,2021-10-17,prediction,3186.2064
MS,2021-10-18,prediction,3184.2744
MS,2021-10-19,prediction,3185.0287999999996
MS,2021-10-20,prediction,3187.0544
MS,2021-10-21,prediction,3185.3864
MS,2021-10-22,prediction,3184.2744
